FID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,Type_,Juris,Latitude,Longitude
21,7. Little Hall,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0k-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/stnk3hmahr1mllung09ime5pp4/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpkGHepctls50arC8G1YaidIEQe1cKLP6x62DbRK8Rx3Te4eqw3SbIhcEUhaC895U",-1,0,UF Parking Area,University of Florida,29.64890274,-82.34060074
22,8. MBI/Baby Gator/Garage X,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking/8. MBI/Baby Gator,1,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/5ppadapg0rqbclb351bkslbh8c/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALr-p8j_7MtAa4F0cJN7VVy61QswQDJvK0tCHq8Z0_IK4oKjglybhbrlLdCGxKg6Db",-1,0,UF Parking Area,University of Florida,29.64216669,-82.34215277
23,9. Hume 1 (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-00-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/4tqqc2n0gckrvcspqh2qhqn3gs/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqhsSOEDxUhCN-u0fGn7YefXL3WmIN7_qO63LhFucaWi-iD_BHedhdzzrJINL8kdN",-1,0,UF Parking Area,University of Florida,29.64480005,-82.35182369
24,10. IRB,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0o-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/dej4tgtvtg0l0i4htm809nlhlk/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpdQMDT02A99s4rK9D10QbO_vaP2jh9-etUIgHu_eFK-wV-Ighd4YMGHSXLbD7Dgx",-1,0,UF Parking Area, University of Florida,29.63977455,-82.34302696
25,11. Beaty Towers (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/88hcelallvas6vokjp28b9vpdo/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpVnM8TlVkoe8jcqz6GMfLQf1inNDJjiLVyXJ2yd5B09FygzXXiegqVesFYWbt7jQ",-1,0,UF Parking Area,University of Florida,29.64428379,-82.34087748
26,12. Smathers North West,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-00-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/682l86p7o6g84ilk5tgu5sprus/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqI74p8eOJhxd5TRFnoky9bRN1Jc7PVU1ckils0975OcS6KsPKNFdJ29cSUr3btPF",-1,0,UF Parking Area,University of Florida,29.65109758,-82.34197874
27,13. Smathers North East,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0s-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/cf3b6pdmbb9ktr5o4r2uunjti0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALriZlqV82m46nvyZMPqsg0rlwp3qbcHmw6wIKxGBC52RFqVBOWKb7k2EyIedkN7-2",-1,0,UF Parking Area,University of Florida,29.65119082,-82.34135647
28,14. Griffin-Floyd South,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0g-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/4g577nn2pciem6lfsuctmlpe6o/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALr3nSU2jbk-vhAdmxThAT-tXlM3NBpn1ri8hHAG89MKZL6ife4etGn33pX0D3Byzt",-1,0,UF Parking Area,University of Florida,29.64872881,-82.34314356
29,15. Griffin-Floyd North,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0k-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/cudhifc1a551famh7d5dd27u68/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALrwTh0guA18Sz-2XrOll6b6RJEIGq9ezzw6i2DW4f_AVKbxHS3h6tBQl7F_12ky84",-1,0,UF Parking Area,University of Florida,29.65100387,-82.34299336
30,16. Hough,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-08-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/1vivk2id3t57hdgovl0dsv7h9k/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALq6EcadZmIZCxokOfpltmRKTGBGu5TeA1oOwQfpR9KEU0juv5xkxrJ6IRpNc2XQ9d",-1,0,UF Parking Area,University of Florida,29.65051859,-82.34067073
31,17. Frat Row 1,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-04-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/3ajv4ol3d8vmognk9428nqgsm8/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpTjPByzP79is9sKmYKiUMAVNc0ASC5ucnfcyPi4Rtx-8Dz0h7KVRYp1jhOOqvAPq",-1,0,UF Parking Area,University of Florida,29.64694701,-82.35869523
32,18. Frat Row 2,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Parking,1,-1,0, ,"<img src=""""https://doc-0k-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/3lm5tf2hc0e16kqc8n1erf25k4/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALrCJNxClvyb9kTKUeMoT3HG-Xzm4kFyGqOUVSxPsLFBzc5aateAtBiXJ_ZHcVIObb",-1,0,UF Parking Area,University of Florida,29.64631295,-82.35783693
